CommentId,VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism,cleaned_text,semantic_tokens,processed_text
UgiId66Fu7KrDXgCoAEC,04kJtp6pVXI,"White man can't finish his sentence
America needs to wake up!!the truth of murder is there!",True,True,False,False,False,True,True,False,False,False,False,False,WHITE MAN CANT FINISH HIS SENTENCE AMERICA NEEDS TO WAKE UPTHE TRUTH OF MURDER IS THERE,"['WHITE', 'MAN', 'FINISH', 'SENTENCE', 'NEED', 'WAKE', 'TRUTH', 'MURDER']",WHITE MAN FINISH SENTENCE NEED WAKE TRUTH MURDER
UgzqKHuL0a2Rw3aQw3J4AaABAg,04kJtp6pVXI,Yep a Muslim bitch,True,False,False,False,False,True,False,False,False,False,True,False,YEP A MUSLIM BITCH,"['MUSLIM', 'BITCH']",MUSLIM BITCH
UgimdJUjeexMSXgCoAEC,04kJtp6pVXI,"""I don't want my sons death to be in vain."" ""LET'S BURN THIS BITCH DOWN!"" Stupid fucks destroying livelihoods. Peaceful protests my fucking ass.",True,True,False,False,True,False,False,False,False,False,False,False,I DONT WANT MY SONS DEATH TO BE IN VAIN LETS BURN THIS BITCH DOWN STUPID FUCKS DESTROYING LIVELIHOODS PEACEFUL PROTESTS MY FUCKING ASS,"['WANT', 'SON', 'DEATH', 'VAIN', 'LET', 'BURN', 'BITCH', 'STUPID', 'FUCK', 'DESTROY', 'LIVELIHOOD', 'PEACEFUL', 'PROTEST', 'FUCKING', 'ASS']",WANT SON DEATH VAIN LET BURN BITCH STUPID FUCK DESTROY LIVELIHOOD PEACEFUL PROTEST FUCKING ASS
UghKL_Y4vpNs9XgCoAEC,9pr1oE34bIM,"is this true, police originally said robbery had nothing to do with stop??  So why are you claiming he noticed the cigars?",False,False,False,False,False,False,False,False,False,False,False,False,IS THIS TRUE POLICE ORIGINALLY SAID ROBBERY HAD NOTHING TO DO WITH STOP SO WHY ARE YOU CLAIMING HE NOTICED THE CIGARS,"['TRUE', 'POLICE', 'ORIGINALLY', 'SAY', 'ROBBERY', 'STOP', 'CLAIM', 'NOTICE', 'CIGAR']",TRUE POLICE ORIGINALLY SAY ROBBERY STOP CLAIM NOTICE CIGAR
UgimA8UbV8KGhHgCoAEC,8HB18hZrhXc,"I'm at this point where I think if a cop points a gun at me I should just, you know, do as I'm told, that something I did provoked that.",False,False,False,False,False,False,False,False,False,False,False,False,IM AT THIS POINT WHERE I THINK IF A COP POINTS A GUN AT ME I SHOULD JUST YOU KNOW DO AS IM TOLD THAT SOMETHING I DID PROVOKED THAT,"['POINT', 'THINK', 'COP', 'POINT', 'GUN', 'KNOW', 'TELL', 'PROVOKE']",POINT THINK COP POINT GUN KNOW TELL PROVOKE
UghRKLaioSvLOHgCoAEC,04kJtp6pVXI,"Add another imbecile to the bunch, reporter is a incompetent bastard",True,True,False,False,False,False,False,False,False,False,False,False,ADD ANOTHER IMBECILE TO THE BUNCH REPORTER IS A INCOMPETENT BASTARD,"['ADD', 'IMBECILE', 'BUNCH', 'REPORTER', 'INCOMPETENT', 'BASTARD']",ADD IMBECILE BUNCH REPORTER INCOMPETENT BASTARD
UghbgJ4nLrHdm3gCoAEC,9pr1oE34bIM,"I was for Michael Brown, but after much research, I see (My opinion) that if a man is dangerous enough that he can rob a store without a weapon, he is dangerous and is a criminal anything but a ""gentle giant"" and proof shows Brown attacked Wilson who was a peace officer. From the beginning this was not a race issue, our government through media has created a race issue out of it. This is more of an attack on our Constitutional rights than it is anything.",False,False,False,False,False,False,False,False,False,False,False,False,I WAS FOR MICHAEL BROWN BUT AFTER MUCH RESEARCH I SEE MY OPINION THAT IF A MAN IS DANGEROUS ENOUGH THAT HE CAN ROB A STORE WITHOUT A WEAPON HE IS DANGEROUS AND IS A CRIMINAL ANYTHING BUT A GENTLE GIANT AND PROOF SHOWS BROWN ATTACKED WILSON WHO WAS A PEACE OFFICER FROM THE BEGINNING THIS WAS NOT A RACE ISSUE OUR GOVERNMENT THROUGH MEDIA HAS CREATED A RACE ISSUE OUT OF IT THIS IS MORE OF AN ATTACK ON OUR CONSTITUTIONAL RIGHTS THAN IT IS ANYTHING,"['MUCH', 'RESEARCH', 'SEE', 'OPINION', 'MAN', 'DANGEROUS', 'ENOUGH', 'ROB', 'STORE', 'WEAPON', 'DANGEROUS', 'CRIMINAL', 'GENTLE', 'GIANT', 'PROOF', 'SHOW', 'BROWN', 'ATTACK', 'PEACE', 'OFFICER', 'BEGINNING', 'RACE', 'ISSUE', 'GOVERNMENT', 'MEDIUM', 'CREATE', 'RACE', 'ISSUE', 'ATTACK', 'CONSTITUTIONAL', 'RIGHT']",MUCH RESEARCH SEE OPINION MAN DANGEROUS ENOUGH ROB STORE WEAPON DANGEROUS CRIMINAL GENTLE GIANT PROOF SHOW BROWN ATTACK PEACE OFFICER BEGINNING RACE ISSUE GOVERNMENT MEDIUM CREATE RACE ISSUE ATTACK CONSTITUTIONAL RIGHT
UghgXK75U-9JnHgCoAEC,9pr1oE34bIM,Great vid.,False,False,False,False,False,False,False,False,False,False,False,False,GREAT VID,"['GREAT', 'VID']",GREAT VID
UgjQ_wZol5DmqHgCoAEC,9pr1oE34bIM,Why not spread the word about the 20 year unarmed white guy shot by a black cop?,False,False,False,False,False,False,False,False,False,False,False,False,WHY NOT SPREAD THE WORD ABOUT THE YEAR UNARMED WHITE GUY SHOT BY A BLACK COP,"['SPREAD', 'WORD', 'YEAR', 'UNARMED', 'WHITE', 'GUY', 'SHOOT', 'BLACK', 'COP']",SPREAD WORD YEAR UNARMED WHITE GUY SHOOT BLACK COP
Ugji5Puu6CdNSXgCoAEC,Dt9-byUhPdg,What a bunch of complete dumb asses!,True,True,False,False,False,False,False,False,False,False,False,False,WHAT A BUNCH OF COMPLETE DUMB ASSES,"['BUNCH', 'COMPLETE', 'DUMB', 'ASS']",BUNCH COMPLETE DUMB ASS
