semantic_tokens,IsHatespeech,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism,sentiment_label,sentiment_score
"['WHITE', 'MAN', 'FINISH', 'SENTENCE', 'NEED', 'WAKE', 'TRUTH', 'MURDER']",True,True,True,False,False,False,True,False,False,False,False,False,NEGATIVE,0.982016384601593
"['MUSLIM', 'BITCH']",True,True,False,False,False,False,False,False,False,False,True,False,NEGATIVE,0.9821776151657104
"['WANT', 'SON', 'DEATH', 'VAIN', 'LET', 'BURN', 'BITCH', 'STUPID', 'FUCK', 'DESTROY', 'LIVELIHOOD', 'PEACEFUL', 'PROTEST', 'FUCKING', 'ASS']",False,True,True,False,False,True,False,False,False,False,False,False,NEGATIVE,0.9601925611495972
"['TRUE', 'POLICE', 'ORIGINALLY', 'SAY', 'ROBBERY', 'STOP', 'CLAIM', 'NOTICE', 'CIGAR']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9803020358085632
"['POINT', 'THINK', 'COP', 'POINT', 'GUN', 'KNOW', 'TELL', 'PROVOKE']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.971493363380432
"['ADD', 'IMBECILE', 'BUNCH', 'REPORTER', 'INCOMPETENT', 'BASTARD']",False,True,True,False,False,False,False,False,False,False,False,False,NEGATIVE,0.916877269744873
"['MUCH', 'RESEARCH', 'SEE', 'OPINION', 'MAN', 'DANGEROUS', 'ENOUGH', 'ROB', 'STORE', 'WEAPON', 'DANGEROUS', 'CRIMINAL', 'GENTLE', 'GIANT', 'PROOF', 'SHOW', 'BROWN', 'ATTACK', 'PEACE', 'OFFICER', 'BEGINNING', 'RACE', 'ISSUE', 'GOVERNMENT', 'MEDIUM', 'CREATE', 'RACE', 'ISSUE', 'ATTACK', 'CONSTITUTIONAL', 'RIGHT']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9393211007118224
"['GREAT', 'VID']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9742352962493896
"['SPREAD', 'WORD', 'YEAR', 'UNARMED', 'WHITE', 'GUY', 'SHOOT', 'BLACK', 'COP']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9441755414009094
"['BUNCH', 'COMPLETE', 'DUMB', 'ASS']",False,True,True,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9591120481491088
"['PEOPLE', 'SAY', 'COP', 'JUSTIFY', 'NEW', 'VIDEO', 'WITNESS', 'SAY', 'HAND']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9527125358581544
"['PEOPLE', 'SEE', 'HEREI', 'EVEN', 'UNDERSTAND', 'SAYINGIS', 'BLACK', 'GOOD', 'WORLD', 'SEEHOW', 'PEOPLE', 'RESPECT', 'RACE', 'SEE', 'MUCH', 'BAD']",True,True,False,False,False,False,True,False,False,False,False,False,NEGATIVE,0.9271115064620972
"['COMMUNITY', 'MARCH', 'PEACE', 'HAND', 'HAND', 'GIRL', 'KILL', 'SIT', 'HOME', 'HOMEWORK', 'DESERVE', 'LEAST', 'SOCIETY', 'LET', 'MAYBE', 'LEAD']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9352006912231444
"['FIND', 'AMUSE', 'PROTESTER', 'CLAIM', 'FIGHT', 'RACISM', 'YET', 'BLIND', 'RACISM', 'SEVERAL', 'REPORT', 'BLACK', 'PEOPLE', 'ATTACK', 'WHITE', 'PEOPLE', 'COUPLE', 'DAY', 'AGO', 'REPORT', 'WHITE', 'MAN', 'BEAT', 'DEATH', 'HAMMER', 'BLACK', 'TEEN', 'CLEARLY', 'RACIAL', 'INTENT', 'FUCK', 'HYPOCRITE']",True,True,True,False,True,False,True,False,False,False,False,False,NEGATIVE,0.942368984222412
"['MAN', 'GOOD', 'FIGHT', 'HOPE', 'MINORITY', 'RAIN', 'NATIONAL', 'GUARD', 'LOOK', 'WEPON', 'ACT', 'WAR']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9295220375061036
"['OLD', 'WHITE', 'CONSERVATIVE', 'SAY', 'VICE', 'PRESIDENT', 'IMAGINE', 'TRUMPHUBBARD', 'TICKET', 'WOWEEE']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.971493363380432
"['INTERVIEW', 'CONSTITUTION', 'WORKER', 'CATCH', 'TAPE', 'SAY', 'SHOT', 'HAND']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9789950251579284
"['CALIFORNIAN', 'DESERVE', 'BACKUP', 'ELECT', 'PEOPLE', 'ALLOW', 'HAPPEN', 'CONSEQUENCE', 'TRY', 'LIVE', 'SHOOT', 'RUNNE']",True,True,True,False,True,False,True,True,False,False,False,False,NEGATIVE,0.9206553101539612
"['BUY', 'SHOOT']",False,True,True,True,False,False,False,False,False,False,False,False,NEGATIVE,0.976667046546936
"['OBVIOUSLY', 'WELL', 'UNDERSTANDING', 'EVENT', 'SURROUND', 'UNFORTUNATE', 'EVENT', 'PRESIDENTI', 'CALL', 'UNFORTUNATE', 'OFFICER', 'DESTROY', 'JOB', 'FEAR', 'POLICE', 'HESITATE', 'FIND', 'RAPIDLY', 'GROW', 'SITUATION', 'THANK', 'INDEPTH', 'HONEST', 'DISSERTATION', 'TOM', 'KELVER', 'SEEK', 'HELP', 'GO', 'BACK', 'SCHOOL', 'GET', 'DRUG']",False,True,True,False,False,False,False,False,False,False,False,False,NEGATIVE,0.962841272354126
"['MAN', 'GUY', 'BUNCH', 'WAFFLE', 'NONSENSE', 'COME', 'MOUTH', 'ANSWER', 'QUESTION']",False,True,True,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9407404661178588
"['ATTACK', 'POLICE', 'OFFICER', 'STEAL', 'STORE', 'EXPECT']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9508622884750366
"['FUNNY', 'DOCTOR', 'PUSH', 'DRUG', 'LEGAL', 'EVEN', 'PRESCRIPTION', 'DRUG', 'ABUSE', 'MINORITY', 'LOCK', 'YEAR', 'KNOW', 'BENEFICIAL', 'ECONOMY', 'WAR', 'DRUG', 'START', 'GOVERNMENT', 'STILL', 'SUPPLY', 'STREET', 'DAY', 'RACIAL', 'PROFILING', 'STUPID', 'CAUCASIAN', 'COMMIT', 'MASS', 'SHOOTING', 'SEE', 'SEARCH', 'GO', 'MALL', 'MOVIE', 'THEATER', 'SCHOOL']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9523028135299684
"['FEMALE', 'UNCLE', 'RUCKUS']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9639525413513184
"['COP', 'SHOOT', 'WHITE', 'GUY', 'RIOT', 'SHOOT', 'BLACK', 'GUY', 'SEEM', 'THINK', 'BLACK', 'LOOK', 'EVIDENCE', 'SKIN', 'COLOR', 'ALWAYS', 'THROW', 'RACE', 'CARD', 'CRAP']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9615390300750732
"['ACT', 'ANIMAL', 'TREAT', 'ANIMAL']",True,True,False,False,False,False,True,False,False,False,False,False,NEGATIVE,0.9879683256149292
"['BRING', 'TEAR', 'GAS', 'ROUND', 'RUBBER', 'BULLET']",False,True,True,False,True,False,False,False,False,False,False,False,NEGATIVE,0.9866153001785278
"['SAY', 'MICHEAL', 'BROWN', 'DESERVE', 'GARNER']",False,False,False,False,False,False,False,False,False,False,False,False,NEGATIVE,0.9077328443527222
