semantic_tokens,IsHatespeech,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
"['WHITE', 'MAN', 'FINISH', 'SENTENCE', 'NEED', 'WAKE', 'TRUTH', 'MURDER']",True,True,True,False,False,False,True,False,False,False,False,False
"['MUSLIM', 'BITCH']",True,True,False,False,False,False,False,False,False,False,True,False
"['WANT', 'SON', 'DEATH', 'VAIN', 'LET', 'BURN', 'BITCH', 'STUPID', 'FUCK', 'DESTROY', 'LIVELIHOOD', 'PEACEFUL', 'PROTEST', 'FUCKING', 'ASS']",False,True,True,False,False,True,False,False,False,False,False,False
"['TRUE', 'POLICE', 'ORIGINALLY', 'SAY', 'ROBBERY', 'STOP', 'CLAIM', 'NOTICE', 'CIGAR']",False,False,False,False,False,False,False,False,False,False,False,False
"['POINT', 'THINK', 'COP', 'POINT', 'GUN', 'KNOW', 'TELL', 'PROVOKE']",False,False,False,False,False,False,False,False,False,False,False,False
"['ADD', 'IMBECILE', 'BUNCH', 'REPORTER', 'INCOMPETENT', 'BASTARD']",False,True,True,False,False,False,False,False,False,False,False,False
"['MUCH', 'RESEARCH', 'SEE', 'OPINION', 'MAN', 'DANGEROUS', 'ENOUGH', 'ROB', 'STORE', 'WEAPON', 'DANGEROUS', 'CRIMINAL', 'GENTLE', 'GIANT', 'PROOF', 'SHOW', 'BROWN', 'ATTACK', 'PEACE', 'OFFICER', 'BEGINNING', 'RACE', 'ISSUE', 'GOVERNMENT', 'MEDIUM', 'CREATE', 'RACE', 'ISSUE', 'ATTACK', 'CONSTITUTIONAL', 'RIGHT']",False,False,False,False,False,False,False,False,False,False,False,False
"['GREAT', 'VID']",False,False,False,False,False,False,False,False,False,False,False,False
"['SPREAD', 'WORD', 'YEAR', 'UNARMED', 'WHITE', 'GUY', 'SHOOT', 'BLACK', 'COP']",False,False,False,False,False,False,False,False,False,False,False,False
"['BUNCH', 'COMPLETE', 'DUMB', 'ASS']",False,True,True,False,False,False,False,False,False,False,False,False
"['PEOPLE', 'SAY', 'COP', 'JUSTIFY', 'NEW', 'VIDEO', 'WITNESS', 'SAY', 'HAND']",False,False,False,False,False,False,False,False,False,False,False,False
"['PEOPLE', 'SEE', 'HEREI', 'EVEN', 'UNDERSTAND', 'SAYINGIS', 'BLACK', 'GOOD', 'WORLD', 'SEEHOW', 'PEOPLE', 'RESPECT', 'RACE', 'SEE', 'MUCH', 'BAD']",True,True,False,False,False,False,True,False,False,False,False,False
"['COMMUNITY', 'MARCH', 'PEACE', 'HAND', 'HAND', 'GIRL', 'KILL', 'SIT', 'HOME', 'HOMEWORK', 'DESERVE', 'LEAST', 'SOCIETY', 'LET', 'MAYBE', 'LEAD']",False,False,False,False,False,False,False,False,False,False,False,False
"['FIND', 'AMUSE', 'PROTESTER', 'CLAIM', 'FIGHT', 'RACISM', 'YET', 'BLIND', 'RACISM', 'SEVERAL', 'REPORT', 'BLACK', 'PEOPLE', 'ATTACK', 'WHITE', 'PEOPLE', 'COUPLE', 'DAY', 'AGO', 'REPORT', 'WHITE', 'MAN', 'BEAT', 'DEATH', 'HAMMER', 'BLACK', 'TEEN', 'CLEARLY', 'RACIAL', 'INTENT', 'FUCK', 'HYPOCRITE']",True,True,True,False,True,False,True,False,False,False,False,False
"['MAN', 'GOOD', 'FIGHT', 'HOPE', 'MINORITY', 'RAIN', 'NATIONAL', 'GUARD', 'LOOK', 'WEPON', 'ACT', 'WAR']",False,False,False,False,False,False,False,False,False,False,False,False
"['OLD', 'WHITE', 'CONSERVATIVE', 'SAY', 'VICE', 'PRESIDENT', 'IMAGINE', 'TRUMPHUBBARD', 'TICKET', 'WOWEEE']",False,False,False,False,False,False,False,False,False,False,False,False
"['INTERVIEW', 'CONSTITUTION', 'WORKER', 'CATCH', 'TAPE', 'SAY', 'SHOT', 'HAND']",False,False,False,False,False,False,False,False,False,False,False,False
